Epochs,Optimizer,Loss Function,Learning Rate,Avg Train Loss,Avg Test Loss
30000,Adam,MSE,0.001,3.641846287727356,33.11131150436401
30000,Adam,MSE,0.00103,4.196127366065979,60.13250611114502
30000,Adam,MSE,0.00106,2.258232277750969,24.009818691253663
30000,Adam,MSE,0.00109,2.6041139450073243,75.70659605407715
30000,Adam,MSE,0.00112,4.507653199195862,35.58703802490234
30000,Adam,MSE,0.00115,1.8441060189306735,18.974691745758058
30000,Adam,MSE,0.00118,5.01642343711853,29.524564876556397
30000,Adam,MSE,0.00121,2.789946835875511,22.258305847167968
30000,Adam,MSE,0.00124,2.734516502916813,17.89297409248352
30000,Adam,MSE,0.00127,1.8399695579409598,21.17751085662842
30000,Adam,MSE,0.0013,1.75442066437006,13.127658124923705
30000,Adam,MSE,0.00133,6.615029796600342,48.49218479156494
30000,Adam,MSE,0.00136,4.739088149547577,27.002403457641602
30000,Adam,MSE,0.00139,2.8337048085927963,21.652233833312987
30000,Adam,MSE,0.00142,1.6864166571497916,24.808347709655763
30000,Adam,MSE,0.00145,3.5802167711257935,25.769595630645753
30000,Adam,MSE,0.00148,1.7960738300681114,21.93833433151245
30000,Adam,MSE,0.00151,1.721692045211792,19.676823066711425
30000,Adam,MSE,0.00157,6.881080372810364,30.26691060638428
30000,Adam,MSE,0.0016,2.6058006449341775,27.923039794921873
30000,Adam,MSE,0.00163,3.2480887804031373,24.89657160949707
30000,Adam,MSE,0.00166,7.812849361419678,32.52447264099121
30000,Adam,MSE,0.00169,2.1873921663761138,37.847823097229
30000,Adam,MSE,0.00172,42.016604593127965,66.16773251342774
30000,Adam,MSE,0.00175,1.8057322695851326,15.201178499221802
30000,Adam,MSE,0.00178,1.751815338909626,20.96380176925659
30000,Adam,MSE,0.00181,2.493536257982254,26.526545776367186
30000,Adam,MSE,0.00184,2.056247971102595,27.505834808349608
30000,Adam,MSE,0.00187,3.049496546149254,126.64561528015136
30000,Adam,MSE,0.0019,2.3124891033172608,15.184610847473145
30000,Adam,MSE,0.00193,7.208304062843323,17.88214560890198
30000,Adam,MSE,0.00196,0.9885052285790443,242.9061438293457
30000,Adam,MSE,0.00199,4.4056153235435485,23.40940175628662
30000,Adam,MSE,0.00202,7.851328097343445,26.51969409942627
30000,Adam,MSE,0.00205,0.4767356810346246,17.048260189056396
30000,Adam,MSE,0.00208,2.107109482169151,19.80825475311279
30000,Adam,MSE,0.00211,1.458100976280868,21.079629722595215
30000,Adam,MSE,0.00214,8.246701828956605,27.550360214233397
30000,Adam,MSE,0.00217,0.7899041703902185,13.666563243865967
